AO_2008,AO_2009,AO_2010,AO_2011,AO_2012,AO_2013,AO_2014,AO_2015,AO_2016,AO_2017,AO_2018,AO_2019,AO_2020
603,676,806,914,770,736,1.301,866,946,1.127,1.357,1.097,313
87,223,155,181,231,191,197,188,218,245,176,132,23
229,247,302,273,182,271,286,347,182,232,119,64,18
162,156,199,151,190,127,141,193,138,149,44,129,24
400,718,805,706,657,556,425,364,291,294,337,300,90
546,535,682,580,493,440,421,375,256,272,45,76,35
304,357,445,347,477,864,732,697,630,577,371,409,157
153,254,443,295,347,373,255,392,306,245,125,190,75
11,17,35,22,12,10,32,22,2,1,7,5,0
2.432,2.835,6.070,5.686,6.089,7.879,7.356,5.568,7.375,8.081,7.819,8.839,2.824
492,572,566,562,590,560,434,723,459,489,295,304,100
240,341,369,526,399,453,477,514,323,254,321,427,159
405,677,961,697,846,1.029,1.248,1.081,904,949,927,926,262
939,1.156,1.320,1.347,1.194,1.468,1.695,1.295,966,1.141,935,1.219,343
102,155,185,154,129,255,195,208,213,189,181,155,41
106,139,214,163,173,174,167,118,102,144,75,98,13
25,82,104,101,142,205,199,125,39,25,126,68,15
60,63,131,107,184,219,226,169,91,81,62,32,24
2.786,3.982,4.110,4.267,2.916,4.244,9.715,9.486,5.872,5.343,4.521,3.128,892
156,280,295,239,240,691,426,358,446,664,644,707,187
427,788,886,837,1.032,914,708,913,688,606,534,872,326
89,57,151,138,274,97,118,115,83,65,52,49,9
467,594,783,732,619,737,821,1.006,844,761,689,712,239
63,130,151,88,96,158,93,111,84,84,96,61,30
