AO_2008,AO_2009,AO_2010,AO_2011,AO_2012,AO_2013,AO_2014,AO_2015,AO_2016,AO_2017,AO_2018,AO_2019,AO_2020
69,67,79,81,77,53,85,71,61,92,102,82,29
9,23,30,29,32,35,32,33,33,24,35,32,7
37,27,30,22,39,33,41,61,47,38,54,29,8
19,31,35,30,26,34,15,29,34,17,22,27,6
65,115,109,73,93,82,70,82,77,87,72,108,32
104,118,172,114,110,149,138,113,58,131,101,97,27
36,48,37,50,95,106,95,89,84,86,75,77,19
35,73,70,78,71,60,69,85,48,74,64,70,35
2,2,1,2,2,0,1,4,0,0,3,1,0
176,576,630,521,530,594,530,477,458,456,511,517,187
68,63,91,84,99,71,74,58,78,81,45,66,16
41,27,32,57,33,53,57,76,47,25,34,52,18
110,164,165,150,192,164,141,163,135,180,197,178,47
140,90,180,138,142,171,134,145,141,150,141,148,57
9,11,21,22,13,28,34,26,36,31,27,39,15
15,25,22,27,32,23,24,27,13,25,20,26,2
7,13,19,24,40,43,56,25,20,15,35,30,10
3,8,7,12,21,16,23,14,11,10,18,17,5
194,277,309,261,289,301,448,327,331,375,357,357,135
33,44,32,29,38,37,34,32,43,40,36,45,15
64,99,99,91,97,110,83,75,68,72,92,78,40
7,9,18,30,48,21,29,24,40,35,26,18,10
87,77,111,100,109,68,91,90,93,92,73,74,20
13,11,14,24,14,25,18,12,11,17,11,12,5
